location,region,scenario,year,anomaly_c,temp_c
Delhi,South Asia,ssp126,2015,0.827,29.229
Tokyo,East Asia,ssp126,2015,1.471,19.031
Sydney,Oceania,ssp126,2015,0.57,17.794
Longyearbyen,Arctic,ssp126,2015,1.034,-9.372
Manaus,South America,ssp126,2015,0.464,27.89
San Diego,North America,ssp126,2016,0.364,18.292
New York,North America,ssp126,2016,0.549,12.586
London,Europe,ssp126,2016,-0.275,12.211
Lagos,Africa,ssp126,2016,0.527,27.996
Delhi,South Asia,ssp126,2016,-0.063,28.34
Tokyo,East Asia,ssp126,2016,1.244,18.804
Sydney,Oceania,ssp126,2016,0.79,18.014
Longyearbyen,Arctic,ssp126,2016,4.524,-5.882
Manaus,South America,ssp126,2016,0.309,27.735
San Diego,North America,ssp126,2017,-0.51,17.419
New York,North America,ssp126,2017,0.088,12.125
London,Europe,ssp126,2017,0.194,12.681
Lagos,Africa,ssp126,2017,0.113,27.583
Delhi,South Asia,ssp126,2017,0.141,28.543
Tokyo,East Asia,ssp126,2017,1.529,19.089
Sydney,Oceania,ssp126,2017,0.047,17.27
Longyearbyen,Arctic,ssp126,2017,0.485,-9.921
Manaus,South America,ssp126,2017,0.2,27.626
San Diego,North America,ssp126,2018,0.556,18.485
New York,North America,ssp126,2018,1.657,13.694
London,Europe,ssp126,2018,0.734,13.22
Lagos,Africa,ssp126,2018,0.528,27.998
Delhi,South Asia,ssp126,2018,0.822,29.225
Tokyo,East Asia,ssp126,2018,0.514,18.074
Sydney,Oceania,ssp126,2018,0.397,17.62
Longyearbyen,Arctic,ssp126,2018,3.211,-7.194
Manaus,South America,ssp126,2018,1.149,28.575
San Diego,North America,ssp126,2019,0.414,18.343
New York,North America,ssp126,2019,1.895,13.933
London,Europe,ssp126,2019,-0.613,11.873
Lagos,Africa,ssp126,2019,1.026,28.495
Delhi,South Asia,ssp126,2019,2.05,30.452
Tokyo,East Asia,ssp126,2019,1.108,18.668
Sydney,Oceania,ssp126,2019,0.888,18.112
Longyearbyen,Arctic,ssp126,2019,0.932,-9.473
Manaus,South America,ssp126,2019,1.41,28.836
San Diego,North America,ssp126,2020,0.65,18.578
New York,North America,ssp126,2020,1.447,13.485
London,Europe,ssp126,2020,-1.073,11.413
Lagos,Africa,ssp126,2020,0.741,28.211
Delhi,South Asia,ssp126,2020,1.084,29.487
Tokyo,East Asia,ssp126,2020,0.342,17.902
Sydney,Oceania,ssp126,2020,0.736,17.959
Longyearbyen,Arctic,ssp126,2020,-0.903,-11.308
Manaus,South America,ssp126,2020,0.825,28.251
San Diego,North America,ssp126,2021,0.088,18.017
New York,North America,ssp126,2021,1.112,13.149
London,Europe,ssp126,2021,0.679,13.166
Lagos,Africa,ssp126,2021,0.079,27.548
Delhi,South Asia,ssp126,2021,0.437,28.839
Tokyo,East Asia,ssp126,2021,0.597,18.157
Sydney,Oceania,ssp126,2021,0.412,17.635
Longyearbyen,Arctic,ssp126,2021,-2.005,-12.41
Manaus,South America,ssp126,2021,-0.266,27.16
San Diego,North America,ssp126,2022,0.419,18.347
New York,North America,ssp126,2022,2.082,14.119
London,Europe,ssp126,2022,0.34,12.826
Lagos,Africa,ssp126,2022,0.503,27.972
Delhi,South Asia,ssp126,2022,1.348,29.751
Tokyo,East Asia,ssp126,2022,0.452,18.012
Sydney,Oceania,ssp126,2022,0.145,17.369
Longyearbyen,Arctic,ssp126,2022,-1.293,-11.698
Manaus,South America,ssp126,2022,0.434,27.86
San Diego,North America,ssp126,2023,1.024,18.953
New York,North America,ssp126,2023,0.821,12.858
London,Europe,ssp126,2023,0.228,12.715
Lagos,Africa,ssp126,2023,0.572,28.041
Delhi,South Asia,ssp126,2023,1.27,29.673
Tokyo,East Asia,ssp126,2023,1.174,18.734
Sydney,Oceania,ssp126,2023,0.407,17.63
Longyearbyen,Arctic,ssp126,2023,1.193,-9.212
Manaus,South America,ssp126,2023,0.773,28.199
San Diego,North America,ssp126,2024,0.252,18.18
New York,North America,ssp126,2024,2.565,14.602
London,Europe,ssp126,2024,0.06,12.547
Lagos,Africa,ssp126,2024,1.005,28.474
Delhi,South Asia,ssp126,2024,1.27,29.672
Tokyo,East Asia,ssp126,2024,1.74,19.301
Sydney,Oceania,ssp126,2024,0.764,17.988
Longyearbyen,Arctic,ssp126,2024,1.916,-8.489
Manaus,South America,ssp126,2024,1.025,28.451
San Diego,North America,ssp126,2025,0.301,18.229
New York,North America,ssp126,2025,2.609,14.646
London,Europe,ssp126,2025,1.439,13.925
Lagos,Africa,ssp126,2025,0.768,28.238
Delhi,South Asia,ssp126,2025,0.261,28.663
Tokyo,East Asia,ssp126,2025,1.049,18.609
Sydney,Oceania,ssp126,2025,0.366,17.59
Longyearbyen,Arctic,ssp126,2025,1.485,-8.92
Manaus,South America,ssp126,2025,0.43,27.856
San Diego,North America,ssp126,2026,0.128,18.056
New York,North America,ssp126,2026,2.865,14.902
London,Europe,ssp126,2026,1.318,13.805
Lagos,Africa,ssp126,2026,0.637,28.106
Delhi,South Asia,ssp126,2026,0.948,29.351
Tokyo,East Asia,ssp126,2026,1.603,19.163
Sydney,Oceania,ssp126,2026,1.107,18.331
Longyearbyen,Arctic,ssp126,2026,0.281,-10.124
Manaus,South America,ssp126,2026,0.574,28.0
San Diego,North America,ssp126,2027,1.542,19.47
New York,North America,ssp126,2027,2.633,14.67
London,Europe,ssp126,2027,0.476,12.963
Lagos,Africa,ssp126,2027,1.133,28.602
Delhi,South Asia,ssp126,2027,0.7,29.103
Tokyo,East Asia,ssp126,2027,0.475,18.035
Sydney,Oceania,ssp126,2027,1.132,18.355
Longyearbyen,Arctic,ssp126,2027,3.488,-6.918
Manaus,South America,ssp126,2027,1.368,28.794
San Diego,North America,ssp126,2028,0.447,18.375
New York,North America,ssp126,2028,2.519,14.557
London,Europe,ssp126,2028,0.91,13.397
Lagos,Africa,ssp126,2028,0.752,28.221
Delhi,South Asia,ssp126,2028,0.751,29.153
Tokyo,East Asia,ssp126,2028,0.697,18.257
Sydney,Oceania,ssp126,2028,0.868,18.092
Longyearbyen,Arctic,ssp126,2028,-0.033,-10.438
Manaus,South America,ssp126,2028,0.677,28.103
San Diego,North America,ssp126,2029,0.504,18.432
New York,North America,ssp126,2029,2.38,14.417
London,Europe,ssp126,2029,0.799,13.285
Lagos,Africa,ssp126,2029,1.223,28.692
Delhi,South Asia,ssp126,2029,0.585,28.987
Tokyo,East Asia,ssp126,2029,1.204,18.764
Sydney,Oceania,ssp126,2029,1.472,18.696
Longyearbyen,Arctic,ssp126,2029,3.193,-7.212
Manaus,South America,ssp126,2029,1.47,28.896
San Diego,North America,ssp126,2030,1.299,19.227
New York,North America,ssp126,2030,1.484,13.521
London,Europe,ssp126,2030,0.046,12.533
Lagos,Africa,ssp126,2030,1.536,29.005
Delhi,South Asia,ssp126,2030,1.037,29.439
Tokyo,East Asia,ssp126,2030,1.741,19.302
Sydney,Oceania,ssp126,2030,1.368,18.592
Longyearbyen,Arctic,ssp126,2030,1.78,-8.625
Manaus,South America,ssp126,2030,1.472,28.898
San Diego,North America,ssp126,2031,0.866,18.794
New York,North America,ssp126,2031,1.789,13.827
London,Europe,ssp126,2031,0.278,12.765
Lagos,Africa,ssp126,2031,1.074,28.543
Delhi,South Asia,ssp126,2031,2.064,30.467
Tokyo,East Asia,ssp126,2031,1.456,19.016
Sydney,Oceania,ssp126,2031,0.863,18.087
Longyearbyen,Arctic,ssp126,2031,2.833,-7.572
Manaus,South America,ssp126,2031,0.99,28.416
San Diego,North America,ssp126,2032,0.748,18.677
New York,North America,ssp126,2032,1.463,13.501
London,Europe,ssp126,2032,0.866,13.353
Lagos,Africa,ssp126,2032,0.959,28.428
Delhi,South Asia,ssp126,2032,1.124,29.526
Tokyo,East Asia,ssp126,2032,2.328,19.888
Sydney,Oceania,ssp126,2032,0.966,18.19
Longyearbyen,Arctic,ssp126,2032,0.715,-9.69
Manaus,South America,ssp126,2032,1.184,28.61
San Diego,North America,ssp126,2033,-0.341,17.588
New York,North America,ssp126,2033,2.699,14.736
London,Europe,ssp126,2033,0.921,13.407
Lagos,Africa,ssp126,2033,1.568,29.037
Delhi,South Asia,ssp126,2033,1.052,29.455
Tokyo,East Asia,ssp126,2033,2.305,19.865
Sydney,Oceania,ssp126,2033,1.218,18.442
Longyearbyen,Arctic,ssp126,2033,3.235,-7.17
Manaus,South America,ssp126,2033,1.996,29.422
San Diego,North America,ssp126,2034,0.181,18.109
New York,North America,ssp126,2034,1.624,13.662
London,Europe,ssp126,2034,0.287,12.774
Lagos,Africa,ssp126,2034,1.293,28.762
Delhi,South Asia,ssp126,2034,0.933,29.336
Tokyo,East Asia,ssp126,2034,1.662,19.223
Sydney,Oceania,ssp126,2034,1.381,18.604
Longyearbyen,Arctic,ssp126,2034,2.059,-8.346
Manaus,South America,ssp126,2034,1.208,28.634
San Diego,North America,ssp126,2035,0.494,18.423
New York,North America,ssp126,2035,2.571,14.609
London,Europe,ssp126,2035,0.686,13.173
Lagos,Africa,ssp126,2035,1.23,28.699
Delhi,South Asia,ssp126,2035,1.413,29.816
Tokyo,East Asia,ssp126,2035,1.928,19.488
Sydney,Oceania,ssp126,2035,1.369,18.593
Longyearbyen,Arctic,ssp126,2035,0.036,-10.369
Manaus,South America,ssp126,2035,1.597,29.023
San Diego,North America,ssp126,2036,0.602,18.53
New York,North America,ssp126,2036,3.277,15.314
London,Europe,ssp126,2036,0.777,13.264
Lagos,Africa,ssp126,2036,1.389,28.858
Delhi,South Asia,ssp126,2036,1.648,30.05
Tokyo,East Asia,ssp126,2036,2.349,19.909
Sydney,Oceania,ssp126,2036,2.094,19.318
Longyearbyen,Arctic,ssp126,2036,3.688,-6.717
Manaus,South America,ssp126,2036,1.656,29.082
San Diego,North America,ssp126,2037,0.289,18.218
New York,North America,ssp126,2037,3.602,15.639
London,Europe,ssp126,2037,1.405,13.891
Lagos,Africa,ssp126,2037,0.8,28.269
Delhi,South Asia,ssp126,2037,0.36,28.762
Tokyo,East Asia,ssp126,2037,1.735,19.295
Sydney,Oceania,ssp126,2037,1.193,18.416
Longyearbyen,Arctic,ssp126,2037,1.35,-9.056
Manaus,South America,ssp126,2037,0.941,28.367
San Diego,North America,ssp126,2038,0.598,18.526
New York,North America,ssp126,2038,2.755,14.793
London,Europe,ssp126,2038,1.819,14.305
Lagos,Africa,ssp126,2038,1.214,28.684
Delhi,South Asia,ssp126,2038,2.488,30.89
Tokyo,East Asia,ssp126,2038,1.441,19.001
Sydney,Oceania,ssp126,2038,1.172,18.395
Longyearbyen,Arctic,ssp126,2038,2.51,-7.895
Manaus,South America,ssp126,2038,1.359,28.785
San Diego,North America,ssp126,2039,1.632,19.56
New York,North America,ssp126,2039,1.958,13.996
London,Europe,ssp126,2039,1.256,13.743
Lagos,Africa,ssp126,2039,1.576,29.045
Delhi,South Asia,ssp126,2039,3.103,31.506
Tokyo,East Asia,ssp126,2039,1.748,19.308
Sydney,Oceania,ssp126,2039,1.854,19.078
Longyearbyen,Arctic,ssp126,2039,0.219,-10.186
Manaus,South America,ssp126,2039,2.096,29.522
San Diego,North America,ssp126,2040,1.977,19.905
New York,North America,ssp126,2040,2.4,14.437
London,Europe,ssp126,2040,1.621,14.108
Lagos,Africa,ssp126,2040,0.902,28.371
Delhi,South Asia,ssp126,2040,1.802,30.205
Tokyo,East Asia,ssp126,2040,1.437,18.997
Sydney,Oceania,ssp126,2040,1.175,18.399
Longyearbyen,Arctic,ssp126,2040,-0.099,-10.504
Manaus,South America,ssp126,2040,1.098,28.524
San Diego,North America,ssp126,2041,0.803,18.732
New York,North America,ssp126,2041,3.95,15.987
London,Europe,ssp126,2041,0.365,12.852
Lagos,Africa,ssp126,2041,1.013,28.482
Delhi,South Asia,ssp126,2041,0.865,29.267
Tokyo,East Asia,ssp126,2041,2.931,20.491
Sydney,Oceania,ssp126,2041,0.551,17.775
Longyearbyen,Arctic,ssp126,2041,2.882,-7.523
Manaus,South America,ssp126,2041,1.003,28.429
San Diego,North America,ssp126,2042,0.045,17.973
New York,North America,ssp126,2042,2.675,14.712
London,Europe,ssp126,2042,0.895,13.381
Lagos,Africa,ssp126,2042,1.676,29.145
Delhi,South Asia,ssp126,2042,1.598,30.0
Tokyo,East Asia,ssp126,2042,2.303,19.863
Sydney,Oceania,ssp126,2042,1.82,19.044
Longyearbyen,Arctic,ssp126,2042,2.501,-7.904
Manaus,South America,ssp126,2042,1.984,29.41
San Diego,North America,ssp126,2043,1.47,19.398
New York,North America,ssp126,2043,1.789,13.827
London,Europe,ssp126,2043,0.418,12.905
Lagos,Africa,ssp126,2043,1.239,28.708
Delhi,South Asia,ssp126,2043,1.323,29.726
Tokyo,East Asia,ssp126,2043,2.78,20.34
Sydney,Oceania,ssp126,2043,1.31,18.533
Longyearbyen,Arctic,ssp126,2043,0.413,-9.992
Manaus,South America,ssp126,2043,1.327,28.753
San Diego,North America,ssp126,2044,0.313,18.241
New York,North America,ssp126,2044,3.112,15.15
London,Europe,ssp126,2044,-0.068,12.418
Lagos,Africa,ssp126,2044,0.968,28.437
Delhi,South Asia,ssp126,2044,2.221,30.623
Tokyo,East Asia,ssp126,2044,1.797,19.357
Sydney,Oceania,ssp126,2044,0.755,17.978
Longyearbyen,Arctic,ssp126,2044,1.4,-9.005
Manaus,South America,ssp126,2044,0.941,28.367
San Diego,North America,ssp126,2045,0.876,18.804
New York,North America,ssp126,2045,3.572,15.609
London,Europe,ssp126,2045,0.954,13.441
Lagos,Africa,ssp126,2045,1.524,28.993
Delhi,South Asia,ssp126,2045,1.968,30.37
Tokyo,East Asia,ssp126,2045,1.884,19.444
Sydney,Oceania,ssp126,2045,1.167,18.391
Longyearbyen,Arctic,ssp126,2045,4.154,-6.251
Manaus,South America,ssp126,2045,1.786,29.212
San Diego,North America,ssp126,2046,1.522,19.45
New York,North America,ssp126,2046,2.824,14.862
London,Europe,ssp126,2046,0.697,13.183
Lagos,Africa,ssp126,2046,1.458,28.928
Delhi,South Asia,ssp126,2046,1.648,30.05
Tokyo,East Asia,ssp126,2046,1.205,18.765
Sydney,Oceania,ssp126,2046,1.116,18.34
Longyearbyen,Arctic,ssp126,2046,0.808,-9.597
Manaus,South America,ssp126,2046,1.655,29.081
San Diego,North America,ssp126,2047,0.899,18.827
New York,North America,ssp126,2047,2.246,14.283
London,Europe,ssp126,2047,0.133,12.62
Lagos,Africa,ssp126,2047,1.47,28.939
Delhi,South Asia,ssp126,2047,1.651,30.054
Tokyo,East Asia,ssp126,2047,2.262,19.822
Sydney,Oceania,ssp126,2047,1.294,18.518
Longyearbyen,Arctic,ssp126,2047,1.707,-8.699
Manaus,South America,ssp126,2047,1.432,28.858
San Diego,North America,ssp126,2048,1.885,19.813
New York,North America,ssp126,2048,1.324,13.361
London,Europe,ssp126,2048,-0.53,11.956
Lagos,Africa,ssp126,2048,1.747,29.216
Delhi,South Asia,ssp126,2048,1.5,29.902
Tokyo,East Asia,ssp126,2048,1.544,19.105
Sydney,Oceania,ssp126,2048,2.691,19.914
Longyearbyen,Arctic,ssp126,2048,1.598,-8.807
Manaus,South America,ssp126,2048,2.32,29.746
San Diego,North America,ssp126,2049,1.697,19.626
New York,North America,ssp126,2049,2.278,14.315
London,Europe,ssp126,2049,1.075,13.562
Lagos,Africa,ssp126,2049,2.005,29.475
Delhi,South Asia,ssp126,2049,2.846,31.248
Tokyo,East Asia,ssp126,2049,1.948,19.508
Sydney,Oceania,ssp126,2049,2.055,19.278
Longyearbyen,Arctic,ssp126,2049,2.373,-8.033
Manaus,South America,ssp126,2049,2.027,29.453
San Diego,North America,ssp126,2050,2.017,19.946
New York,North America,ssp126,2050,2.697,14.734
London,Europe,ssp126,2050,0.732,13.219
Lagos,Africa,ssp126,2050,1.552,29.022
Delhi,South Asia,ssp126,2050,1.667,30.07
Tokyo,East Asia,ssp126,2050,2.087,19.647
Sydney,Oceania,ssp126,2050,2.037,19.261
Longyearbyen,Arctic,ssp126,2050,1.672,-8.733
Manaus,South America,ssp126,2050,1.676,29.102
San Diego,North America,ssp126,2051,1.984,19.912
New York,North America,ssp126,2051,3.04,15.077
London,Europe,ssp126,2051,0.498,12.985
Lagos,Africa,ssp126,2051,1.281,28.75
Delhi,South Asia,ssp126,2051,2.554,30.956
Tokyo,East Asia,ssp126,2051,1.309,18.869
Sydney,Oceania,ssp126,2051,1.818,19.042
Longyearbyen,Arctic,ssp126,2051,4.098,-6.307
Manaus,South America,ssp126,2051,1.444,28.87
San Diego,North America,ssp126,2052,1.251,19.179
New York,North America,ssp126,2052,3.558,15.595
London,Europe,ssp126,2052,0.76,13.247
Lagos,Africa,ssp126,2052,1.421,28.89
Delhi,South Asia,ssp126,2052,2.239,30.641
Tokyo,East Asia,ssp126,2052,1.832,19.392
Sydney,Oceania,ssp126,2052,1.792,19.016
Longyearbyen,Arctic,ssp126,2052,3.49,-6.915
Manaus,South America,ssp126,2052,1.625,29.051
San Diego,North America,ssp126,2053,1.876,19.804
New York,North America,ssp126,2053,2.832,14.87
London,Europe,ssp126,2053,0.994,13.48
Lagos,Africa,ssp126,2053,1.463,28.932
Delhi,South Asia,ssp126,2053,1.932,30.335
Tokyo,East Asia,ssp126,2053,1.415,18.975
Sydney,Oceania,ssp126,2053,1.656,18.88
Longyearbyen,Arctic,ssp126,2053,4.218,-6.187
Manaus,South America,ssp126,2053,1.465,28.891
San Diego,North America,ssp126,2054,1.046,18.974
New York,North America,ssp126,2054,2.866,14.904
London,Europe,ssp126,2054,0.674,13.161
Lagos,Africa,ssp126,2054,1.649,29.119
Delhi,South Asia,ssp126,2054,1.57,29.972
Tokyo,East Asia,ssp126,2054,1.001,18.561
Sydney,Oceania,ssp126,2054,1.85,19.073
Longyearbyen,Arctic,ssp126,2054,1.378,-9.027
Manaus,South America,ssp126,2054,1.697,29.123
San Diego,North America,ssp126,2055,0.677,18.605
New York,North America,ssp126,2055,2.668,14.706
London,Europe,ssp126,2055,0.334,12.82
Lagos,Africa,ssp126,2055,1.707,29.176
Delhi,South Asia,ssp126,2055,1.203,29.606
Tokyo,East Asia,ssp126,2055,2.061,19.622
Sydney,Oceania,ssp126,2055,1.574,18.798
Longyearbyen,Arctic,ssp126,2055,0.197,-10.208
Manaus,South America,ssp126,2055,2.062,29.488
San Diego,North America,ssp126,2056,0.564,18.492
New York,North America,ssp126,2056,2.969,15.006
London,Europe,ssp126,2056,1.288,13.775
Lagos,Africa,ssp126,2056,1.405,28.874
Delhi,South Asia,ssp126,2056,1.437,29.839
Tokyo,East Asia,ssp126,2056,2.004,19.564
Sydney,Oceania,ssp126,2056,1.492,18.716
Longyearbyen,Arctic,ssp126,2056,-0.876,-11.282
Manaus,South America,ssp126,2056,1.606,29.032
San Diego,North America,ssp126,2057,1.991,19.919
New York,North America,ssp126,2057,3.451,15.488
London,Europe,ssp126,2057,0.267,12.753
Lagos,Africa,ssp126,2057,1.619,29.088
Delhi,South Asia,ssp126,2057,1.729,30.131
Tokyo,East Asia,ssp126,2057,1.303,18.863
Sydney,Oceania,ssp126,2057,1.557,18.781
Longyearbyen,Arctic,ssp126,2057,3.785,-6.62
Manaus,South America,ssp126,2057,1.661,29.087
San Diego,North America,ssp126,2058,1.532,19.46
New York,North America,ssp126,2058,2.674,14.712
London,Europe,ssp126,2058,0.331,12.817
Lagos,Africa,ssp126,2058,1.303,28.772
Delhi,South Asia,ssp126,2058,2.497,30.9
Tokyo,East Asia,ssp126,2058,1.069,18.629
Sydney,Oceania,ssp126,2058,1.244,18.468
Longyearbyen,Arctic,ssp126,2058,1.078,-9.328
Manaus,South America,ssp126,2058,0.839,28.265
San Diego,North America,ssp126,2059,1.283,19.212
New York,North America,ssp126,2059,2.645,14.682
London,Europe,ssp126,2059,-0.484,12.003
Lagos,Africa,ssp126,2059,1.697,29.166
Delhi,South Asia,ssp126,2059,2.36,30.763
Tokyo,East Asia,ssp126,2059,1.01,18.571
Sydney,Oceania,ssp126,2059,2.458,19.682
Longyearbyen,Arctic,ssp126,2059,3.352,-7.053
Manaus,South America,ssp126,2059,1.702,29.128
San Diego,North America,ssp126,2060,0.727,18.655
New York,North America,ssp126,2060,1.702,13.739
London,Europe,ssp126,2060,0.667,13.154
Lagos,Africa,ssp126,2060,1.553,29.022
Delhi,South Asia,ssp126,2060,2.156,30.559
Tokyo,East Asia,ssp126,2060,2.424,19.984
Sydney,Oceania,ssp126,2060,1.797,19.02
Longyearbyen,Arctic,ssp126,2060,0.3,-10.105
Manaus,South America,ssp126,2060,2.063,29.489
San Diego,North America,ssp126,2061,1.421,19.35
New York,North America,ssp126,2061,3.671,15.709
London,Europe,ssp126,2061,1.1,13.587
Lagos,Africa,ssp126,2061,1.786,29.255
Delhi,South Asia,ssp126,2061,1.253,29.655
Tokyo,East Asia,ssp126,2061,1.287,18.848
Sydney,Oceania,ssp126,2061,2.284,19.507
Longyearbyen,Arctic,ssp126,2061,3.251,-7.154
Manaus,South America,ssp126,2061,1.984,29.41
San Diego,North America,ssp126,2062,0.315,18.244
New York,North America,ssp126,2062,4.043,16.081
London,Europe,ssp126,2062,1.855,14.342
Lagos,Africa,ssp126,2062,0.844,28.314
Delhi,South Asia,ssp126,2062,1.507,29.91
Tokyo,East Asia,ssp126,2062,2.155,19.715
Sydney,Oceania,ssp126,2062,1.762,18.986
Longyearbyen,Arctic,ssp126,2062,-0.384,-10.789
Manaus,South America,ssp126,2062,1.091,28.517
San Diego,North America,ssp126,2063,0.744,18.672
New York,North America,ssp126,2063,3.312,15.349
London,Europe,ssp126,2063,1.474,13.961
Lagos,Africa,ssp126,2063,1.366,28.835
Delhi,South Asia,ssp126,2063,2.726,31.129
Tokyo,East Asia,ssp126,2063,2.752,20.312
Sydney,Oceania,ssp126,2063,1.966,19.19
Longyearbyen,Arctic,ssp126,2063,2.059,-8.346
Manaus,South America,ssp126,2063,1.938,29.364
San Diego,North America,ssp126,2064,0.836,18.765
New York,North America,ssp126,2064,3.825,15.862
London,Europe,ssp126,2064,1.698,14.185
Lagos,Africa,ssp126,2064,1.245,28.714
Delhi,South Asia,ssp126,2064,2.108,30.511
Tokyo,East Asia,ssp126,2064,2.595,20.155
Sydney,Oceania,ssp126,2064,2.282,19.506
Longyearbyen,Arctic,ssp126,2064,1.98,-8.425
Manaus,South America,ssp126,2064,1.767,29.193
San Diego,North America,ssp126,2065,0.868,18.796
New York,North America,ssp126,2065,4.05,16.087
London,Europe,ssp126,2065,0.23,12.716
Lagos,Africa,ssp126,2065,2.014,29.483
Delhi,South Asia,ssp126,2065,1.507,29.91
Tokyo,East Asia,ssp126,2065,1.615,19.175
Sydney,Oceania,ssp126,2065,1.809,19.032
Longyearbyen,Arctic,ssp126,2065,4.379,-6.027
Manaus,South America,ssp126,2065,2.335,29.761
San Diego,North America,ssp126,2066,1.026,18.955
New York,North America,ssp126,2066,3.191,15.229
London,Europe,ssp126,2066,0.235,12.721
Lagos,Africa,ssp126,2066,1.677,29.146
Delhi,South Asia,ssp126,2066,1.475,29.878
Tokyo,East Asia,ssp126,2066,2.103,19.663
Sydney,Oceania,ssp126,2066,1.897,19.121
Longyearbyen,Arctic,ssp126,2066,2.044,-8.362
Manaus,South America,ssp126,2066,1.608,29.033
San Diego,North America,ssp126,2067,1.165,19.093
New York,North America,ssp126,2067,3.687,15.724
London,Europe,ssp126,2067,1.149,13.635
Lagos,Africa,ssp126,2067,1.748,29.217
Delhi,South Asia,ssp126,2067,2.414,30.817
Tokyo,East Asia,ssp126,2067,1.774,19.334
Sydney,Oceania,ssp126,2067,1.894,19.117
Longyearbyen,Arctic,ssp126,2067,3.326,-7.079
Manaus,South America,ssp126,2067,1.838,29.264
San Diego,North America,ssp126,2068,1.452,19.38
New York,North America,ssp126,2068,3.261,15.298
London,Europe,ssp126,2068,1.038,13.525
Lagos,Africa,ssp126,2068,1.715,29.185
Delhi,South Asia,ssp126,2068,1.322,29.725
Tokyo,East Asia,ssp126,2068,2.333,19.893
Sydney,Oceania,ssp126,2068,1.888,19.112
Longyearbyen,Arctic,ssp126,2068,2.76,-7.645
Manaus,South America,ssp126,2068,1.935,29.361
San Diego,North America,ssp126,2069,0.959,18.888
New York,North America,ssp126,2069,2.933,14.971
London,Europe,ssp126,2069,0.45,12.936
Lagos,Africa,ssp126,2069,1.645,29.114
Delhi,South Asia,ssp126,2069,2.127,30.529
Tokyo,East Asia,ssp126,2069,2.42,19.98
Sydney,Oceania,ssp126,2069,1.947,19.17
Longyearbyen,Arctic,ssp126,2069,3.964,-6.441
Manaus,South America,ssp126,2069,1.497,28.923
San Diego,North America,ssp126,2070,1.189,19.117
New York,North America,ssp126,2070,2.713,14.751
London,Europe,ssp126,2070,-0.063,12.423
Lagos,Africa,ssp126,2070,1.79,29.26
Delhi,South Asia,ssp126,2070,2.041,30.444
Tokyo,East Asia,ssp126,2070,1.938,19.498
Sydney,Oceania,ssp126,2070,2.367,19.591
Longyearbyen,Arctic,ssp126,2070,2.797,-7.608
Manaus,South America,ssp126,2070,2.061,29.487
San Diego,North America,ssp126,2071,1.114,19.042
New York,North America,ssp126,2071,2.305,14.343
London,Europe,ssp126,2071,-0.395,12.091
Lagos,Africa,ssp126,2071,1.389,28.858
Delhi,South Asia,ssp126,2071,1.992,30.395
Tokyo,East Asia,ssp126,2071,2.263,19.823
Sydney,Oceania,ssp126,2071,1.906,19.13
Longyearbyen,Arctic,ssp126,2071,2.955,-7.45
Manaus,South America,ssp126,2071,1.603,29.029
San Diego,North America,ssp126,2072,1.078,19.006
New York,North America,ssp126,2072,3.42,15.457
London,Europe,ssp126,2072,-0.153,12.333
Lagos,Africa,ssp126,2072,1.993,29.463
Delhi,South Asia,ssp126,2072,2.292,30.694
Tokyo,East Asia,ssp126,2072,1.385,18.946
Sydney,Oceania,ssp126,2072,2.399,19.622
Longyearbyen,Arctic,ssp126,2072,3.245,-7.16
Manaus,South America,ssp126,2072,2.211,29.637
San Diego,North America,ssp126,2073,1.417,19.345
New York,North America,ssp126,2073,2.947,14.985
London,Europe,ssp126,2073,0.724,13.21
Lagos,Africa,ssp126,2073,1.41,28.88
Delhi,South Asia,ssp126,2073,2.115,30.518
Tokyo,East Asia,ssp126,2073,1.251,18.811
Sydney,Oceania,ssp126,2073,1.499,18.723
Longyearbyen,Arctic,ssp126,2073,2.572,-7.833
Manaus,South America,ssp126,2073,1.189,28.615
San Diego,North America,ssp126,2074,1.763,19.691
New York,North America,ssp126,2074,1.928,13.966
London,Europe,ssp126,2074,-0.424,12.063
Lagos,Africa,ssp126,2074,1.801,29.27
Delhi,South Asia,ssp126,2074,3.52,31.923
Tokyo,East Asia,ssp126,2074,1.869,19.429
Sydney,Oceania,ssp126,2074,1.951,19.175
Longyearbyen,Arctic,ssp126,2074,2.473,-7.932
Manaus,South America,ssp126,2074,2.043,29.469
San Diego,North America,ssp126,2075,1.524,19.452
New York,North America,ssp126,2075,2.634,14.671
London,Europe,ssp126,2075,0.224,12.711
Lagos,Africa,ssp126,2075,1.429,28.898
Delhi,South Asia,ssp126,2075,2.045,30.448
Tokyo,East Asia,ssp126,2075,2.494,20.054
Sydney,Oceania,ssp126,2075,1.926,19.15
Longyearbyen,Arctic,ssp126,2075,3.898,-6.508
Manaus,South America,ssp126,2075,1.916,29.341
San Diego,North America,ssp126,2076,1.193,19.121
New York,North America,ssp126,2076,3.257,15.295
London,Europe,ssp126,2076,0.531,13.017
Lagos,Africa,ssp126,2076,1.872,29.341
Delhi,South Asia,ssp126,2076,2.19,30.593
Tokyo,East Asia,ssp126,2076,1.668,19.228
Sydney,Oceania,ssp126,2076,1.584,18.808
Longyearbyen,Arctic,ssp126,2076,4.777,-5.628
Manaus,South America,ssp126,2076,1.974,29.4
San Diego,North America,ssp126,2077,0.757,18.686
